huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento,limpieza,llegada_autonoma,ubicacion_fantastica,wifi,cocina,lavadora,aire,secador,frigorifico,ciudad,nombre,urls
5,2,3,1,130,4.77,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,No hay dato,https://www.airbnb.es/rooms/47445221?adults=1&children=0&infants=0&check_in=2022-08-12&check_out=2022-08-14&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,2,4,1,53,4.63,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,No hay dato,https://www.airbnb.es/rooms/47445221?adults=1&children=0&infants=0&check_in=2022-08-12&check_out=2022-08-14&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,3,1,55,4.44,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Madrid,"Centro - Wifi. Acogedor. 10m** Sol, Atocha.",https://www.airbnb.es/rooms/26951188?adults=1&children=0&infants=0&check_in=2022-06-03&check_out=2022-06-05&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,2,3,2,129,4.76,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Centro - Wifi. Acogedor. 10m** Sol, Atocha.",https://www.airbnb.es/rooms/26951188?adults=1&children=0&infants=0&check_in=2022-06-03&check_out=2022-06-05&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,3,4,2,110,4.64,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"Centro - Wifi. Acogedor. 10m** Sol, Atocha.",https://www.airbnb.es/rooms/26951188?adults=1&children=0&infants=0&check_in=2022-06-03&check_out=2022-06-05&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,1,1,54,4.56,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"Alojamiento entero, en cuesta Santo Domingo #",https://www.airbnb.es/rooms/51266212?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,4,1,98,4.68,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"Alojamiento entero, en cuesta Santo Domingo #",https://www.airbnb.es/rooms/51266212?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
7,3,4,2,120,4.47,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Alojamiento entero, en cuesta Santo Domingo #",https://www.airbnb.es/rooms/51266212?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
4,1,2,1,60,4.89,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,"A estrenar, zona centro, Sol, Atocha, Lavapies",https://www.airbnb.es/rooms/20346903?adults=1&children=0&infants=0&check_in=2022-06-03&check_out=2022-06-05&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,2,3,1,89,4.49,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"A estrenar, zona centro, Sol, Atocha, Lavapies",https://www.airbnb.es/rooms/20346903?adults=1&children=0&infants=0&check_in=2022-06-03&check_out=2022-06-05&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
