huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento,limpieza,llegada_autonoma,ubicacion_fantastica,wifi,cocina,lavadora,aire,secador,frigorifico,ciudad,nombre,urls
5,3,4,1,85,4.63,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,Frigorífico,Madrid,Loft tranquilo y con encanto. Económico,https://www.airbnb.es/rooms/39712610?adults=1&children=0&infants=0&check_in=2022-02-11&check_out=2022-02-13&previous_page_section_name=1000&federated_search_id=23480346-843d-4f88-b8aa-c3344542787e
6,2,2,1,116,4.0,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Loft tranquilo y con encanto. Económico,https://www.airbnb.es/rooms/39712610?adults=1&children=0&infants=0&check_in=2022-02-11&check_out=2022-02-13&previous_page_section_name=1000&federated_search_id=23480346-843d-4f88-b8aa-c3344542787e
4,1,2,1,75,4.82,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Bonito apartamento muy bien ubicado.,https://www.airbnb.es/rooms/2673648?adults=1&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-21&previous_page_section_name=1000&federated_search_id=23480346-843d-4f88-b8aa-c3344542787e
6,2,4,2,115,4.91,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Bonito apartamento muy bien ubicado.,https://www.airbnb.es/rooms/2673648?adults=1&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-21&previous_page_section_name=1000&federated_search_id=23480346-843d-4f88-b8aa-c3344542787e
4,2,2,2,84,4.39,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,"Best Location 2BD, 2BTH! WIFI. Puerta del Sol",https://www.airbnb.es/rooms/19280280?adults=1&children=0&infants=0&check_in=2022-07-15&check_out=2022-07-17&previous_page_section_name=1000&federated_search_id=23480346-843d-4f88-b8aa-c3344542787e
5,2,2,1,115,4.0,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,Frigorífico,Madrid,"Best Location 2BD, 2BTH! WIFI. Puerta del Sol",https://www.airbnb.es/rooms/19280280?adults=1&children=0&infants=0&check_in=2022-07-15&check_out=2022-07-17&previous_page_section_name=1000&federated_search_id=23480346-843d-4f88-b8aa-c3344542787e
5,2,5,1,180,4.71,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"Best Location 2BD, 2BTH! WIFI. Puerta del Sol",https://www.airbnb.es/rooms/19280280?adults=1&children=0&infants=0&check_in=2022-07-15&check_out=2022-07-17&previous_page_section_name=1000&federated_search_id=23480346-843d-4f88-b8aa-c3344542787e
3,0,2,1,72,4.67,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Disfruta de un ambiente Bohemio con mucho estilo,https://www.airbnb.es/rooms/11716618?adults=1&children=0&infants=0&check_in=2022-10-21&check_out=2022-10-23&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,2,4,2,129,4.0,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Disfruta de un ambiente Bohemio con mucho estilo,https://www.airbnb.es/rooms/11716618?adults=1&children=0&infants=0&check_in=2022-10-21&check_out=2022-10-23&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,4,2,161,4.58,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Disfruta de un ambiente Bohemio con mucho estilo,https://www.airbnb.es/rooms/11716618?adults=1&children=0&infants=0&check_in=2022-10-21&check_out=2022-10-23&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,1,1,1,38,4.92,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Habitación doble con WIFI, Atocha",https://www.airbnb.es/rooms/12889722?adults=1&children=0&infants=0&check_in=2022-03-04&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,2,4,1,174,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Habitación doble con WIFI, Atocha",https://www.airbnb.es/rooms/12889722?adults=1&children=0&infants=0&check_in=2022-03-04&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,3,1,154,4.56,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"Habitación doble con WIFI, Atocha",https://www.airbnb.es/rooms/12889722?adults=1&children=0&infants=0&check_in=2022-03-04&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,1,1,1,63,4.75,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Luminoso apartamento en La latina,https://www.airbnb.es/rooms/46096994?adults=1&children=0&infants=0&check_in=2022-02-11&check_out=2022-02-13&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,1,3,2,77,4.0,Habitación privada,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Luminoso apartamento en La latina,https://www.airbnb.es/rooms/46096994?adults=1&children=0&infants=0&check_in=2022-02-11&check_out=2022-02-13&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,3,2,100,5.0,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Luminoso apartamento en La latina,https://www.airbnb.es/rooms/46096994?adults=1&children=0&infants=0&check_in=2022-02-11&check_out=2022-02-13&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,1,1,1,55,4.69,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,APARTAMENTO LAVAPIÉS - CENTRO MADRID,https://www.airbnb.es/rooms/33097229?adults=1&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-22&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,2,3,1,100,3.67,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,APARTAMENTO LAVAPIÉS - CENTRO MADRID,https://www.airbnb.es/rooms/33097229?adults=1&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-22&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
8,3,7,1,109,4.82,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,APARTAMENTO LAVAPIÉS - CENTRO MADRID,https://www.airbnb.es/rooms/33097229?adults=1&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-22&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,1,1,1,40,4.68,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,0. Habitación Exterior con baño junto a Gran Vía,https://www.airbnb.es/rooms/28997668?adults=1&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-15&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,0,5,1,110,3.93,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,0. Habitación Exterior con baño junto a Gran Vía,https://www.airbnb.es/rooms/28997668?adults=1&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-15&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,5,1,88,4.63,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,0. Habitación Exterior con baño junto a Gran Vía,https://www.airbnb.es/rooms/28997668?adults=1&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-15&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
4,1,1,1,82,4.72,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,"Apart T Gran Via-Palacio Real, fully equipped!",https://www.airbnb.es/rooms/4496392?adults=1&children=0&infants=0&check_in=2022-08-26&check_out=2022-08-28&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,3,3,205,5.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,"Apart T Gran Via-Palacio Real, fully equipped!",https://www.airbnb.es/rooms/4496392?adults=1&children=0&infants=0&check_in=2022-08-26&check_out=2022-08-28&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,1,1,1,28,4.57,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Cozy Bed and Breakfast in the center of Madrid,https://www.airbnb.es/rooms/50476548?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-11&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
8,3,4,2,238,4.63,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Cozy Bed and Breakfast in the center of Madrid,https://www.airbnb.es/rooms/50476548?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-11&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,3,3,1,124,4.77,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Cozy Bed and Breakfast in the center of Madrid,https://www.airbnb.es/rooms/50476548?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-11&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,0,4,1,42,4.43,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,No cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,cueva en puerta del sol,https://www.airbnb.es/rooms/50415586?adults=1&children=0&infants=0&check_in=2022-03-18&check_out=2022-03-20&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,2,4,1,195,4.75,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,cueva en puerta del sol,https://www.airbnb.es/rooms/50415586?adults=1&children=0&infants=0&check_in=2022-03-18&check_out=2022-03-20&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,2,3,2,100,4.63,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,cueva en puerta del sol,https://www.airbnb.es/rooms/50415586?adults=1&children=0&infants=0&check_in=2022-03-18&check_out=2022-03-20&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
1,1,1,1,15,5.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Mariposa,https://www.airbnb.es/rooms/53176092?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,2,4,2,185,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Mariposa,https://www.airbnb.es/rooms/53176092?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,4,1,85,4.83,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Mariposa,https://www.airbnb.es/rooms/53176092?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
4,2,2,1,90,4.94,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Plaza Mayor, nuevo Cava Baja, AC/Wifi, 2-4 Pax",https://www.airbnb.es/rooms/21827899?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,6,2,180,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Plaza Mayor, nuevo Cava Baja, AC/Wifi, 2-4 Pax",https://www.airbnb.es/rooms/21827899?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,4,1,85,4.59,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Plaza Mayor, nuevo Cava Baja, AC/Wifi, 2-4 Pax",https://www.airbnb.es/rooms/21827899?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,4,2,94,4.37,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Cozy Place calle Pez- Malasana,https://www.airbnb.es/rooms/47064030?adults=1&children=0&infants=0&check_in=2022-10-07&check_out=2022-10-09&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,2,2,1,145,4.79,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Cozy Place calle Pez- Malasana,https://www.airbnb.es/rooms/47064030?adults=1&children=0&infants=0&check_in=2022-10-07&check_out=2022-10-09&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,3,3,1,154,4.63,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Cozy Place calle Pez- Malasana,https://www.airbnb.es/rooms/47064030?adults=1&children=0&infants=0&check_in=2022-10-07&check_out=2022-10-09&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,1,2,1,25,4.85,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Tu Lugar En Madrid,https://www.airbnb.es/rooms/17174817?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,2,3,1,228,4.62,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Tu Lugar En Madrid,https://www.airbnb.es/rooms/17174817?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
7,3,5,2,87,4.56,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Tu Lugar En Madrid,https://www.airbnb.es/rooms/17174817?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
4,1,2,1,80,4.62,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,"ESPECTACULAR LOFT PLAZA MAYOR,MERCADO SAN MIGUEL",https://www.airbnb.es/rooms/22227273?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,2,2,2,140,4.55,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"ESPECTACULAR LOFT PLAZA MAYOR,MERCADO SAN MIGUEL",https://www.airbnb.es/rooms/22227273?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,2,4,2,107,4.0,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"ESPECTACULAR LOFT PLAZA MAYOR,MERCADO SAN MIGUEL",https://www.airbnb.es/rooms/22227273?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,0,2,1,70,4.86,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Cozy New Studio in typical Corrala in Lavapies,https://www.airbnb.es/rooms/42404031?adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-02-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,2,3,1,55,4.81,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Cozy New Studio in typical Corrala in Lavapies,https://www.airbnb.es/rooms/42404031?adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-02-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,3,4,1,80,4.73,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Cozy New Studio in typical Corrala in Lavapies,https://www.airbnb.es/rooms/42404031?adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-02-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,0,1,1,55,4.81,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Estudio en el centro de Madrid,https://www.airbnb.es/rooms/28707165?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
7,3,5,2,125,4.94,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Estudio en el centro de Madrid,https://www.airbnb.es/rooms/28707165?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
1,1,1,1,25,4.67,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Habitación en piso al frente del Templo de Debod!,https://www.airbnb.es/rooms/51882531?adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-02-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,3,1,145,5.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Habitación en piso al frente del Templo de Debod!,https://www.airbnb.es/rooms/51882531?adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-02-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,3,3,1,138,5.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Habitación en piso al frente del Templo de Debod!,https://www.airbnb.es/rooms/51882531?adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-02-27&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,1,1,1,41,4.62,Habitación privada,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,No cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Habitaccion doble Madrid centro,https://www.airbnb.es/rooms/10258948?adults=1&children=0&infants=0&check_in=2021-12-24&check_out=2021-12-26&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,2,4,1,79,4.25,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Habitaccion doble Madrid centro,https://www.airbnb.es/rooms/10258948?adults=1&children=0&infants=0&check_in=2021-12-24&check_out=2021-12-26&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,2,3,1,105,4.9,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Habitaccion doble Madrid centro,https://www.airbnb.es/rooms/10258948?adults=1&children=0&infants=0&check_in=2021-12-24&check_out=2021-12-26&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
1,1,1,1,38,4.93,Habitación privada,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Cozy ensuite single room in the center of Madrid,https://www.airbnb.es/rooms/33124668?adults=1&children=0&infants=0&check_in=2022-01-14&check_out=2022-01-16&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,3,3,212,4.22,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Cozy ensuite single room in the center of Madrid,https://www.airbnb.es/rooms/33124668?adults=1&children=0&infants=0&check_in=2022-01-14&check_out=2022-01-16&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
5,1,2,1,138,4.91,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Cozy ensuite single room in the center of Madrid,https://www.airbnb.es/rooms/33124668?adults=1&children=0&infants=0&check_in=2022-01-14&check_out=2022-01-16&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
3,0,2,1,40,4.36,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Fuencarral Dreams II /Gran via, Malasaña",https://www.airbnb.es/rooms/39216656?adults=1&children=0&infants=0&check_in=2022-03-04&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
8,3,5,2,180,4.42,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Fuencarral Dreams II /Gran via, Malasaña",https://www.airbnb.es/rooms/39216656?adults=1&children=0&infants=0&check_in=2022-03-04&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
6,3,3,2,95,4.34,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"Fuencarral Dreams II /Gran via, Malasaña",https://www.airbnb.es/rooms/39216656?adults=1&children=0&infants=0&check_in=2022-03-04&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
2,1,1,1,34,4.95,Habitación privada,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Habitación cerca Atocha con WIFI,https://www.airbnb.es/rooms/12717553?adults=1&children=0&infants=0&check_in=2022-01-14&check_out=2022-01-16&previous_page_section_name=1000&federated_search_id=366e0421-03ca-482a-856a-1a7ba3c94062
