huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento,limpieza,llegada_autonoma,ubicacion_fantastica,wifi,cocina,lavadora,aire,secador,frigorifico,ciudad
2,1,1,1,85,4.47,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
4,0,3,1,90,4.63,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
4,2,3,1,85,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
2,1,1,1,45,4.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,49,4.76,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
4,2,4,1,84,3.99,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
3,1,2,1,113,4.58,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
4,2,2,1,116,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
1,1,1,1,40,4.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,No lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
1,1,1,1,30,5.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
4,0,2,1,106,4.36,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
1,1,1,1,26,4.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
2,1,2,1,20,4.55,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
7,4,7,2,10,4.38,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
2,1,2,2,48,4.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,35,4.83,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
6,3,6,2,139,4.0,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
2,1,1,1,75,4.35,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
1,1,1,1,20,4.42,Habitación privada,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
4,0,2,1,94,4.92,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,35,4.3,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,40,4.0,Habitación privada,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
3,1,2,1,58,4.76,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,80,4.93,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
4,2,3,1,80,4.0,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
2,0,2,1,134,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
1,1,1,1,30,4.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
4,2,3,1,100,4.29,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
3,1,2,1,110,4.0,Habitación privada,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
2,1,2,1,38,4.98,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
2,1,1,1,54,4.78,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
6,2,3,1,80,4.21,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
4,2,4,1,95,4.53,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
1,1,1,1,20,4.55,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
1,1,1,1,25,4.61,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,60,4.13,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
1,0,2,1,75,4.81,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,42,4.42,Habitación privada,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Barcelona
1,1,1,1,30,4.77,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,35,4.92,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
2,1,1,1,71,4.0,Habitación privada,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
4,2,3,2,98,4.82,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona
3,2,2,1,35,4.71,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
4,1,1,1,64,4.65,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
4,2,3,1,40,4.71,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,20,4.86,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,1,1,1,40,4.31,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,20,4.73,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
1,1,1,1,15,4.64,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
4,1,2,1,43,4.66,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
1,1,1,1,15,4.56,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
1,1,2,1,18,4.83,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
3,1,1,1,68,4.64,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
1,1,1,1,18,4.9,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
4,2,2,1,67,5.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
5,3,4,1,62,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,83,4.95,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,38,4.0,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
4,1,2,1,112,4.0,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,2,1,1,80,4.86,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
5,2,3,1,90,4.49,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
3,2,2,1,55,4.82,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,2,3,1,40,4.71,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
1,1,2,1,18,4.83,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
3,1,1,1,59,4.83,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
1,1,1,1,16,4.36,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,1,2,1,60,4.74,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
1,1,1,2,25,4.84,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
2,1,1,1,68,4.51,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,1,2,1,50,4.58,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,100,4.87,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
3,1,2,1,68,4.98,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,0,1,1,45,4.66,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,49,4.53,Habitación privada,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,39,4.57,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,0,1,1,68,4.58,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
4,1,2,1,60,4.33,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,1,2,1,44,4.75,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
6,2,4,1,70,4.89,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,0,2,1,52,4.54,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,0,1,1,65,4.77,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,2,3,1,65,4.75,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,0,2,1,75,4.97,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
5,3,3,1,40,4.52,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
1,1,1,1,11,4.73,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,2,3,1,59,4.85,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,3,1,1,10,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,1,1,1,82,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
2,1,2,1,57,4.65,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,75,4.82,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,2,3,1,80,4.77,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,0,1,1,68,4.5,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
6,2,3,1,65,4.91,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,2,4,1,95,4.2,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
4,1,4,1,66,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,2,1,75,4.93,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
1,1,1,1,21,4.94,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
6,2,2,1,55,4.33,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,0,1,1,100,4.0,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,26,4.83,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
4,2,3,1,63,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
1,1,1,1,30,4.89,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
2,1,1,1,49,4.41,Habitación privada,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
1,1,1,1,24,4.75,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,57,4.94,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
1,1,1,1,33,4.96,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
1,1,1,1,20,4.86,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
1,1,1,2,29,4.84,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
1,1,1,1,20,4.53,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
4,1,2,2,28,4.46,Habitación privada,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,26,4.83,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
2,1,1,2,24,4.4,Habitación privada,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
3,1,1,1,70,4.87,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,2,1,57,4.63,Habitación privada,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,18,5.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
5,3,4,2,92,4.64,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
3,0,2,1,52,4.54,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,65,4.82,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
1,1,1,1,21,5.0,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,0,2,2,27,4.56,Habitación privada,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,1,2,2,82,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,65,4.86,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,22,4.45,Habitación privada,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
4,2,3,1,60,4.84,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
4,1,2,1,60,4.73,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,40,4.45,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
1,1,1,2,29,4.84,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
2,1,2,1,57,4.63,Habitación privada,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,2,1,12,4.8,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
3,1,2,1,47,4.8,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,2,1,19,4.84,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia
4,2,2,1,70,4.55,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,0,1,1,50,4.89,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,65,4.86,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
5,2,3,1,66,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia
2,1,1,1,180,4.88,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
4,2,3,2,88,4.52,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
2,1,1,1,125,4.87,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia
2,1,1,1,40,4.33,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia
