huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento_entero,limpieza,llegada_autonoma,ubicacion_fantastica,cocina,wifi,lavadora,aire_acondicionado,secador,frigorifico
3,1,2,1,60,4.84,1,1,0,1,1,1,0,1,1,1
6,3,5,2,175,4.91,1,1,1,0,1,1,0,1,1,1
5,2,4,1,115,4.87,1,1,0,1,1,1,0,1,0,1
2,1,1,1,43,4.86,0,1,1,0,0,1,1,1,1,1
5,1,2,2,73,4.38,0,0,0,1,1,1,0,1,1,0
6,3,5,2,133,4.93,1,1,1,0,1,1,0,1,0,1
1,1,1,1,15,4.72,0,1,1,1,1,1,0,0,0,0
7,2,5,2,185,4.78,1,1,1,0,1,1,0,1,1,1
5,3,3,2,69,4.46,1,0,1,1,0,0,1,0,0,1
2,1,1,1,21,4.55,0,1,1,1,0,0,1,0,0,1
6,2,2,2,144,4.6,1,1,1,1,1,1,0,0,1,1
5,3,3,2,106,4.58,1,1,1,1,1,1,0,1,0,1
2,1,1,1,45,4.72,1,1,0,1,1,1,1,0,1,0
5,3,4,2,145,4.5,1,1,1,1,1,1,0,1,0,1
6,3,5,2,107,4.0,1,1,1,1,1,1,0,1,0,1
4,1,2,1,50,3.44,1,0,1,1,1,1,0,1,0,1
6,2,4,2,159,4.84,1,1,1,0,1,1,0,1,1,1
6,3,4,1,90,4.73,1,1,1,1,1,1,0,0,1,1
1,1,1,3,17,5.0,0,1,0,1,1,1,0,0,1,1
6,2,6,2,205,4.0,1,1,0,1,0,0,1,0,0,1
5,2,3,1,121,4.39,1,0,0,1,0,0,1,0,0,1
1,1,1,1,22,4.43,0,1,1,1,0,0,1,0,0,1
7,1,6,1,122,4.29,1,0,1,1,1,1,0,1,0,1
5,2,2,2,130,4.0,1,1,1,0,0,0,1,0,0,1
2,1,1,1,36,4.42,0,0,0,0,1,1,0,1,1,0
6,2,3,2,129,4.0,1,0,1,1,1,1,0,1,1,1
6,2,3,2,105,4.0,1,1,0,1,1,1,0,1,1,1
1,1,2,1,23,4.78,1,1,0,1,1,1,0,1,0,1
6,2,3,2,150,4.61,1,1,1,0,1,1,0,1,1,1
5,3,3,2,69,4.46,1,0,1,1,0,0,1,0,0,1
2,1,1,1,59,4.79,1,1,1,0,1,1,0,1,0,1
5,2,3,1,60,4.5,1,1,1,1,1,1,0,1,1,0
8,4,6,2,107,4.88,1,1,0,1,1,1,0,1,0,1
2,0,2,1,42,4.0,1,1,1,1,0,0,1,0,0,1
6,3,5,2,149,4.86,1,0,1,0,1,1,0,1,1,1
5,2,4,1,105,4.22,1,1,0,1,1,1,0,1,1,1
2,1,1,2,45,4.76,0,1,0,1,1,1,0,1,1,0
5,3,3,2,85,4.0,1,1,1,1,0,0,1,0,0,1
5,2,3,1,121,4.39,1,0,0,1,0,0,1,0,0,1
2,1,2,1,55,4.93,1,1,1,0,1,1,1,1,1,1
5,3,3,1,50,4.84,1,1,1,1,1,1,0,1,1,0
6,2,3,1,77,4.91,1,1,1,0,1,1,0,1,0,1
2,0,2,1,29,3.87,1,0,1,0,1,1,1,0,1,1
6,2,3,2,129,4.76,1,1,1,1,1,1,0,1,1,1
5,2,3,1,45,4.43,1,1,1,1,1,1,0,1,0,1
5,1,3,1,135,4.73,1,1,1,0,1,1,0,1,1,1
6,3,4,2,104,4.78,1,1,1,1,1,1,0,1,0,1
4,1,1,1,55,4.68,1,0,1,0,1,1,0,1,1,0
6,2,3,1,114,4.86,1,1,0,1,1,1,0,1,0,1
5,2,3,2,167,4.0,1,1,1,0,1,1,0,1,0,1
2,0,1,1,63,4.81,1,1,0,1,1,1,0,0,1,0
6,2,3,1,130,4.76,1,1,1,0,1,1,0,1,1,1
5,2,3,1,104,4.64,1,1,0,1,1,1,0,1,0,1
2,1,1,1,35,4.6,0,1,0,1,1,1,0,0,1,0
6,2,3,1,178,4.62,1,1,0,1,1,1,0,1,1,0
6,3,3,2,80,4.64,1,0,0,1,1,1,0,1,1,1
2,1,2,1,71,4.79,1,1,1,0,1,1,1,1,1,0
5,2,1,1,90,4.87,1,1,1,0,0,0,1,0,0,1
5,2,5,2,100,4.87,1,1,1,0,0,0,1,0,0,1
1,1,1,1,25,4.84,1,1,0,1,1,1,0,1,0,1
5,2,3,1,130,4.77,1,1,1,1,1,1,0,1,0,1
6,3,5,2,154,4.47,1,1,1,1,0,0,1,0,0,1
4,2,3,1,70,4.91,1,1,1,1,1,1,0,1,1,1
8,2,4,1,120,4.84,1,1,0,1,1,1,0,1,0,1
6,4,4,1,120,4.0,1,1,1,0,1,1,0,0,0,1
4,1,2,1,69,4.96,1,1,1,1,1,1,0,1,1,0
5,2,2,2,199,4.0,1,1,0,1,1,1,0,1,1,1
6,3,5,2,107,4.0,1,1,1,0,1,1,0,1,0,1
2,1,1,1,70,4.97,1,1,0,1,1,1,1,1,1,1
6,2,3,1,140,4.67,1,1,1,1,1,1,0,1,1,0
5,3,3,1,87,4.75,1,1,1,1,1,1,0,1,0,1
2,0,1,1,48,4.71,1,1,1,1,1,1,0,1,0,0
6,2,4,1,116,4.89,1,1,1,0,1,1,0,1,1,1
6,3,4,1,82,4.44,1,1,1,1,1,1,0,1,0,1
2,1,1,1,40,5.0,1,1,1,1,0,0,1,0,0,1
8,4,6,3,220,4.95,1,1,0,1,1,1,0,1,1,1
7,3,4,2,90,4.91,1,1,0,1,1,1,0,0,0,1
2,1,1,1,50,4.89,1,1,0,1,1,1,0,1,1,1
5,3,3,2,133,4.93,1,1,0,1,1,1,0,0,0,1
5,2,3,1,120,4.49,1,0,0,1,1,1,0,1,1,1
2,0,1,1,57,4.96,1,1,1,0,0,0,1,0,0,1
8,3,4,2,208,4.76,1,1,1,0,1,1,0,1,1,0
6,3,4,1,90,4.77,1,1,0,1,1,1,0,1,1,0
2,1,1,1,18,4.75,0,1,1,1,0,1,1,0,1,0
5,0,3,1,130,3.73,1,0,1,0,1,1,0,1,1,1
5,4,4,1,120,4.73,1,1,1,1,1,1,0,1,0,1
4,2,3,1,70,4.91,1,1,1,1,1,1,0,1,1,1
6,2,3,2,148,4.66,1,1,0,1,1,1,0,0,1,0
5,4,4,1,120,4.73,1,1,1,1,1,1,0,1,0,1
2,0,1,1,57,4.96,1,1,1,0,0,0,1,0,0,1
5,3,3,1,50,4.84,1,1,1,1,1,1,0,1,1,0
6,2,4,1,95,4.67,1,1,0,1,1,1,0,0,1,1
2,1,1,1,25,4.0,0,1,1,1,0,0,1,0,0,1
5,0,3,1,130,3.73,1,0,1,0,1,1,0,1,1,1
5,2,3,2,61,4.75,1,1,1,1,1,1,0,1,0,1
2,1,1,2,45,4.76,0,1,0,1,1,1,0,1,1,0
6,3,6,1,132,4.64,1,1,1,0,1,1,0,1,1,0
5,2,4,1,94,4.25,1,0,0,0,0,0,1,0,0,1
2,0,1,1,49,4.0,1,1,1,1,0,0,1,0,0,1
6,3,3,1,140,4.13,1,0,1,1,1,1,0,0,0,0
6,2,5,1,110,4.07,1,1,0,1,0,0,1,0,0,1
2,1,1,1,39,4.48,1,0,1,1,1,1,0,0,1,0
6,2,2,1,130,4.72,1,1,1,0,1,1,0,0,1,1
6,2,3,2,85,4.37,1,0,1,1,1,1,0,0,1,0
2,1,1,1,70,4.97,1,1,0,1,1,1,1,1,1,1
8,3,4,2,183,4.86,1,1,1,1,1,1,0,1,1,0
